            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2464543.500000000, A.D. 2035-Aug-04 00:00:00.0000,  1.135112718003741E+00, -7.899019425810156E-01, -4.437108761898579E-02,  8.522680878052354E-03,  1.268395567113611E-02,  5.704379480229904E-05,
2464544.500000000, A.D. 2035-Aug-05 00:00:00.0000,  1.143571821765249E+00, -7.771740917323867E-01, -4.431156579864496E-02,  8.395357853092908E-03,  1.277151667685666E-02,  6.199918043768723E-05,
2464545.500000000, A.D. 2035-Aug-06 00:00:00.0000,  1.151903099019957E+00, -7.643593701234950E-01, -4.424709071549221E-02,  8.267030755827956E-03,  1.285769488854962E-02,  6.695019065798758E-05,
2464546.500000000, A.D. 2035-Aug-07 00:00:00.0000,  1.160105554337816E+00, -7.514591674312872E-01, -4.417766710081979E-02,  8.137716905870928E-03,  1.294247660969718E-02,  7.189611752346266E-05,
2464547.500000000, A.D. 2035-Aug-08 00:00:00.0000,  1.168178209733220E+00, -7.384748868898452E-01, -4.410330039744743E-02,  8.007433859046899E-03,  1.302584840144237E-02,  7.683625063597844E-05,
2464548.500000000, A.D. 2035-Aug-09 00:00:00.0000,  1.176120104896073E+00, -7.254079450253704E-01, -4.402399676028917E-02,  7.876199405650016E-03,  1.310779709863497E-02,  8.176987656199561E-05,
2464549.500000000, A.D. 2035-Aug-10 00:00:00.0000,  1.183930297416702E+00, -7.122597713863007E-01, -4.393976305618875E-02,  7.744031565942455E-03,  1.318830981739372E-02,  8.669627914113195E-05,
2464550.500000000, A.D. 2035-Aug-11 00:00:00.0000,  1.191607863004941E+00, -6.990318082675521E-01, -4.385060686318176E-02,  7.610948579279085E-03,  1.326737395711948E-02,  9.161474238159254E-05,
2464551.500000000, A.D. 2035-Aug-12 00:00:00.0000,  1.199151895704432E+00, -6.857255104293583E-01, -4.375653646973224E-02,  7.476968888327697E-03,  1.334497720210920E-02,  9.652455538284858E-05,
2464552.500000000, A.D. 2035-Aug-13 00:00:00.0000,  1.206561508102161E+00, -6.723423448124486E-01, -4.365756087407082E-02,  7.342111129239806E-03,  1.342110752158611E-02,  1.014250141128316E-04,
2464553.500000000, A.D. 2035-Aug-14 00:00:00.0000,  1.213835831532234E+00, -6.588837902503497E-01, -4.355368978327130E-02,  7.206394135387321E-03,  1.349575316900318E-02,  1.063154167688572E-04,
2464554.500000000, A.D. 2035-Aug-15 00:00:00.0000,  1.220974016273350E+00, -6.453513371775730E-01, -4.344493361181104E-02,  7.069836943847926E-03,  1.356890268532866E-02,  1.111950583030631E-04,
2464555.500000000, A.D. 2035-Aug-16 00:00:00.0000,  1.227975231740568E+00, -6.317464873323567E-01, -4.333130347987311E-02,  6.932458790908728E-03,  1.364054490662995E-02,  1.160632304183870E-04,
2464556.500000000, A.D. 2035-Aug-17 00:00:00.0000,  1.234838666672133E+00, -6.180707534545760E-01, -4.321281121179344E-02,  6.794279099615975E-03,  1.371066897450079E-02,  1.209192252918598E-04,
2464557.500000000, A.D. 2035-Aug-18 00:00:00.0000,  1.241563529310933E+00, -6.043256589804551E-01, -4.308946933454854E-02,  6.655317468970708E-03,  1.377926434722444E-02,  1.257623384609908E-04,
2464558.500000000, A.D. 2035-Aug-19 00:00:00.0000,  1.248149047579164E+00, -5.905127377345207E-01, -4.296129107570315E-02,  6.515593665903660E-03,  1.384632080469230E-02,  1.305918700959253E-04,
2464559.500000000, A.D. 2035-Aug-20 00:00:00.0000,  1.254594469245625E+00, -5.766335336178773E-01, -4.282829036056097E-02,  6.375127616715861E-03,  1.391182844165000E-02,  1.354071258192658E-04,
2464560.500000000, A.D. 2035-Aug-21 00:00:00.0000,  1.260899062086744E+00, -5.626896002923452E-01, -4.269048180905500E-02,  6.233939400677825E-03,  1.397577765785944E-02,  1.402074161187819E-04,
2464561.500000000, A.D. 2035-Aug-22 00:00:00.0000,  1.267062114042581E+00, -5.486825008613490E-01, -4.254788073301320E-02,  6.092049248885601E-03,  1.403815916091836E-02,  1.449920538963533E-04,
2464562.500000000, A.D. 2035-Aug-23 00:00:00.0000,  1.273082933367323E+00, -5.346138075485896E-01, -4.240050313363176E-02,  5.949477544200367E-03,  1.409896398068267E-02,  1.497603523202081E-04,
2464563.500000000, A.D. 2035-Aug-24 00:00:00.0000,  1.278960848772699E+00, -5.204851013742694E-01, -4.224836569844664E-02,  5.806244818034548E-03,  1.415818347996045E-02,  1.545116241255335E-04,
2464564.500000000, A.D. 2035-Aug-25 00:00:00.0000,  1.284695209563865E+00, -5.062979718277708E-01, -4.209148579758925E-02,  5.662371741524880E-03,  1.421580935672331E-02,  1.592451830879187E-04,
2464565.500000000, A.D. 2035-Aug-26 00:00:00.0000,  1.290285385768771E+00, -4.920540165365335E-01, -4.192988147980727E-02,  5.517879110269657E-03,  1.427183364463389E-02,  1.639603482564446E-04,
2464566.500000000, A.D. 2035-Aug-27 00:00:00.0000,  1.295730768261662E+00, -4.777548409325315E-01, -4.176357146862435E-02,  5.372787828471426E-03,  1.432624871413388E-02,  1.686564482832683E-04,
2464567.500000000, A.D. 2035-Aug-28 00:00:00.0000,  1.301030768879988E+00, -4.634020579178648E-01, -4.159257515839081E-02,  5.227118902820782E-03,  1.437904726964353E-02,  1.733328208523044E-04,
2464568.500000000, A.D. 2035-Aug-29 00:00:00.0000,  1.306184820533809E+00, -4.489972875292114E-01, -4.141691260983878E-02,  5.080893447449612E-03,  1.443022234516553E-02,  1.779888069324513E-04,
2464569.500000000, A.D. 2035-Aug-30 00:00:00.0000,  1.311192377308055E+00, -4.345421565995923E-01, -4.123660454524871E-02,  4.934132685839848E-03,  1.447976730582012E-02,  1.826237469795328E-04,
2464570.500000000, A.D. 2035-Aug-31 00:00:00.0000,  1.316052914558648E+00, -4.200382984170655E-01, -4.105167234368547E-02,  4.786857941402051E-03,  1.452767585568085E-02,  1.872369827904739E-04,
2464571.500000000, A.D. 2035-Sep-01 00:00:00.0000,  1.320765929002682E+00, -4.054873523817824E-01, -4.086213803644386E-02,  4.639090624614759E-03,  1.457394204793977E-02,  1.918278609792003E-04,
2464572.500000000, A.D. 2035-Sep-02 00:00:00.0000,  1.325330938801544E+00, -3.908909636625927E-01, -4.066802430224772E-02,  4.490852223802145E-03,  1.461856029193520E-02,  1.963957345929027E-04,
2464573.500000000, A.D. 2035-Sep-03 00:00:00.0000,  1.329747483635861E+00, -3.762507828527184E-01, -4.046935446169810E-02,  4.342164296268373E-03,  1.466152535088968E-02,  2.009399641241807E-04,
2464574.500000000, A.D. 2035-Sep-04 00:00:00.0000,  1.334015124772717E+00, -3.615684656235790E-01, -4.026615247115475E-02,  4.193048457289125E-03,  1.470283233054202E-02,  2.054599189085368E-04,
2464575.500000000, A.D. 2035-Sep-05 00:00:00.0000,  1.338133445126610E+00, -3.468456723772531E-01, -4.005844291674966E-02,  4.043526373538865E-03,  1.474247667061526E-02,  2.099549763877156E-04,
2464576.500000000, A.D. 2035-Sep-06 00:00:00.0000,  1.342102049314648E+00, -3.320840678989044E-01, -3.984625100881641E-02,  3.893619763593276E-03,  1.478045415012950E-02,  2.144245188556357E-04,
2464577.500000000, A.D. 2035-Sep-07 00:00:00.0000,  1.345920563704834E+00, -3.172853210095232E-01, -3.962960257620141E-02,  3.743350398300217E-03,  1.481676089881333E-02,  2.188679308579584E-04,
2464578.500000000, A.D. 2035-Sep-08 00:00:00.0000,  1.349588636456335E+00, -3.024511042179874E-01, -3.940852405991280E-02,  3.592740094999552E-03,  1.485139340133478E-02,  2.232845992398957E-04,
2464579.500000000, A.D. 2035-Sep-09 00:00:00.0000,  1.353105937552287E+00, -2.875830933715997E-01, -3.918304250632512E-02,  3.441810704638462E-03,  1.488434849595410E-02,  2.276739161512828E-04,
2464580.500000000, A.D. 2035-Sep-10 00:00:00.0000,  1.356472158826259E+00, -2.726829673058779E-01, -3.895318556047460E-02,  3.290584095077341E-03,  1.491562337459831E-02,  2.320352837482318E-04,
2464581.500000000, A.D. 2035-Sep-11 00:00:00.0000,  1.359687013982247E+00, -2.577524074953058E-01, -3.871898145944837E-02,  3.139082138254737E-03,  1.494521558175002E-02,  2.363681169107151E-04,
2464582.500000000, A.D. 2035-Sep-12 00:00:00.0000,  1.362750238607132E+00, -2.427930977057123E-01, -3.848045902539803E-02,  2.987326708166930E-03,  1.497312300674626E-02,  2.406718405525593E-04,
2464583.500000000, A.D. 2035-Sep-13 00:00:00.0000,  1.365661590175407E+00, -2.278067236471893E-01, -3.823764765805342E-02,  2.835339685379709E-03,  1.499934387607512E-02,  2.449458840104029E-04,
2464584.500000000, A.D. 2035-Sep-14 00:00:00.0000,  1.368420848047323E+00, -2.127949726264071E-01, -3.799057732718780E-02,  2.683142954647026E-03,  1.502387675501776E-02,  2.491896792964257E-04,
2464585.500000000, A.D. 2035-Sep-15 00:00:00.0000,  1.371027813461253E+00, -1.977595331989888E-01, -3.773927856540202E-02,  2.530758393717054E-03,  1.504672055610940E-02,  2.534026638301705E-04,
2464586.500000000, A.D. 2035-Sep-16 00:00:00.0000,  1.373482309519696E+00, -1.827020948234800E-01, -3.748378246097908E-02,  2.378207862728196E-03,  1.506787454688509E-02,  2.575842828407656E-04,
2464587.500000000, A.D. 2035-Sep-17 00:00:00.0000,  1.375784181167590E+00, -1.676243475171685E-01, -3.722412065020963E-02,  2.225513196504433E-03,  1.508733835057842E-02,  2.617339901356271E-04,
2464588.500000000, A.D. 2035-Sep-18 00:00:00.0000,  1.377933295162715E+00, -1.525279815127054E-01, -3.696032530902855E-02,  2.072696194110167E-03,  1.510511193743106E-02,  2.658512496890456E-04,
2464589.500000000, A.D. 2035-Sep-19 00:00:00.0000,  1.379929540039424E+00, -1.374146869152798E-01, -3.669242914449724E-02,  1.919778607067587E-03,  1.512119561146205E-02,  2.699355374440830E-04,
2464590.500000000, A.D. 2035-Sep-20 00:00:00.0000,  1.381772826066856E+00, -1.222861533616365E-01, -3.642046538669247E-02,  1.766782135688597E-03,  1.513559000422527E-02,  2.739863395637826E-04,
2464591.500000000, A.D. 2035-Sep-21 00:00:00.0000,  1.383463085201303E+00, -1.071440696819643E-01, -3.614446778084702E-02,  1.613728432697717E-03,  1.514829608040339E-02,  2.780031481003227E-04,
2464592.500000000, A.D. 2035-Sep-22 00:00:00.0000,  1.385000271031488E+00, -9.199012356402127E-02, -3.586447057910967E-02,  1.460639103321512E-03,  1.515931514414502E-02,  2.819854586564121E-04,
2464593.500000000, A.D. 2035-Sep-23 00:00:00.0000,  1.386384358716588E+00, -7.682600121820976E-02, -3.558050853176933E-02,  1.307535696455643E-03,  1.516864883814080E-02,  2.859327719112329E-04,
2464594.500000000, A.D. 2035-Sep-24 00:00:00.0000,  1.387615344918203E+00, -6.165338704360241E-02, -3.529261687843643E-02,  1.154439689841503E-03,  1.517629914111016E-02,  2.898445977741393E-04,
2464595.500000000, A.D. 2035-Sep-25 00:00:00.0000,  1.388693247726812E+00, -4.647396329640385E-02, -3.500083133948351E-02,  1.001372475403196E-03,  1.518226836740814E-02,  2.937204594303348E-04,
2464596.500000000, A.D. 2035-Sep-26 00:00:00.0000,  1.389618106581939E+00, -3.128940976210570E-02, -3.470518810737289E-02,  8.483553513834977E-04,  1.518655916175734E-02,  2.975598940077302E-04,
2464597.500000000, A.D. 2035-Sep-27 00:00:00.0000,  1.390389982185251E+00, -1.610140343093344E-02, -3.440572383747245E-02,  6.954095235728560E-04,  1.518917448644292E-02,  3.013624486414964E-04,
2464598.500000000, A.D. 2035-Sep-28 00:00:00.0000,  1.391008956407335E+00, -9.116181752455421E-04, -3.410247563863487E-02,  5.425561084652843E-04,  1.519011761280035E-02,  3.051276759811318E-04,
2464599.500000000, A.D. 2035-Sep-29 00:00:00.0000,  1.391475132189572E+00,  1.427827557138252E-02, -3.379548106411139E-02,  3.898161285961418E-04,  1.518939212495803E-02,  3.088551340886664E-04,
2464600.500000000, A.D. 2035-Sep-30 00:00:00.0000,  1.391788633441162E+00,  2.946661113215539E-02, -3.348477810282836E-02,  2.372105028439898E-04,  1.518700192830571E-02,  3.125443889702617E-04,
2464601.500000000, A.D. 2035-Oct-01 00:00:00.0000,  1.391949604930071E+00,  4.465172590123434E-02, -3.317040517045203E-02,  8.476003916275668E-05,  1.518295125285831E-02,  3.161950157752103E-04,
2464602.500000000, A.D. 2035-Oct-02 00:00:00.0000,  1.391958212167029E+00,  5.983196165481765E-02, -3.285240109979656E-02, -6.751457273357616E-05,  1.517724464766795E-02,  3.198065996416524E-04,
2464603.500000000, A.D. 2035-Oct-03 00:00:00.0000,  1.391814641283265E+00,  7.500566486005347E-02, -3.253080513083260E-02, -2.195927732460936E-04,  1.516988696856484E-02,  3.233787382712389E-04,
2464604.500000000, A.D. 2035-Oct-04 00:00:00.0000,  1.391519098903331E+00,  9.017118698107812E-02, -3.220565690091861E-02, -3.714541427653277E-04,  1.516088336582224E-02,  3.269110433698473E-04,
2464605.500000000, A.D. 2035-Oct-05 00:00:00.0000,  1.391071812013345E+00,  1.053268847806369E-01, -3.187699643544253E-02, -5.230784003336824E-04,  1.515023928003776E-02,  3.304031372484830E-04,
2464606.500000000, A.D. 2035-Oct-06 00:00:00.0000,  1.390473027823681E+00,  1.204711206171162E-01, -3.154486413841188E-02, -6.744453975291389E-04,  1.513796044602683E-02,  3.338546478836909E-04,
2464607.500000000, A.D. 2035-Oct-07 00:00:00.0000,  1.389723013625365E+00,  1.356022627383331E-01, -3.120930078256033E-02, -8.255351204544142E-04,  1.512405289421538E-02,  3.372652078706327E-04,
2464608.500000000, A.D. 2035-Oct-08 00:00:00.0000,  1.388822056640866E+00,  1.507186855728178E-01, -3.087034749922209E-02, -9.763277014051674E-04,  1.510852294720418E-02,  3.406344576221774E-04,
2464609.500000000, A.D. 2035-Oct-09 00:00:00.0000,  1.387770463870367E+00,  1.658187700175110E-01, -3.052804576846675E-02, -1.126803433166473E-03,  1.509137721755441E-02,  3.439620497620710E-04,
